id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
MOND-TONI-003_4979,"Tonico 150 Ml, Brisa Del Oceano","Tonico 150 Ml, Brisa Del Oceano",https://kluumstore.com.mx/wp-content/uploads/2019/11/MOND-TONI-003.png,https://kluumstore.com.mx/producto/tonico-150-ml-brisa-del-oceano/,"Cuidado Personal","Kluum Store",99MXN,in stock,MOND-TONI-003_4979,https://kluumstore.com.mx/carrito/?add-to-cart=4979,"https://kluumstore.com.mx/wp-content/uploads/2019/11/MOND-TONI-003.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99MXN,new,published,,
MOND-TONI-002_4977,"Tonico 150 Ml, Manzanilla","Tonico 150 Ml, Manzanilla",https://kluumstore.com.mx/wp-content/uploads/2019/11/MOND-TONI-002.png,https://kluumstore.com.mx/producto/tonico-150-ml-manzanilla/,"Cuidado Personal","Kluum Store",99MXN,in stock,MOND-TONI-002_4977,https://kluumstore.com.mx/carrito/?add-to-cart=4977,"https://kluumstore.com.mx/wp-content/uploads/2019/11/MOND-TONI-002.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99MXN,new,published,,
MOND-TONI-001_4975,"Tonico 150 Ml, Rosas","Tonico 150 Ml, Rosas",https://kluumstore.com.mx/wp-content/uploads/2019/11/MOND-TONI-001.png,https://kluumstore.com.mx/producto/tonico-150-ml-rosas/,"Cuidado Personal","Kluum Store",99MXN,in stock,MOND-TONI-001_4975,https://kluumstore.com.mx/carrito/?add-to-cart=4975,"https://kluumstore.com.mx/wp-content/uploads/2019/11/MOND-TONI-001.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99MXN,new,published,,
SINO-TERM-004_4973,"Termo De Acero Inoxidable 600 Ml, Azul","Termo De Acero Inoxidable 600 Ml, Azul",https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-004.png,https://kluumstore.com.mx/producto/termo-de-acero-inoxidable-600-ml-azul-2/,"Termos","Kluum Store",349MXN,in stock,SINO-TERM-004_4973,https://kluumstore.com.mx/carrito/?add-to-cart=4973,"https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-004.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,349MXN,new,published,,
SINO-TERM-003_4971,"Termo De Acero Inoxidable 600 Ml, Rosa","Termo De Acero Inoxidable 600 Ml, Rosa",https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-003.png,https://kluumstore.com.mx/producto/termo-de-acero-inoxidable-600-ml-rosa/,"Termos","Kluum Store",349MXN,in stock,SINO-TERM-003_4971,https://kluumstore.com.mx/carrito/?add-to-cart=4971,"https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-003.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,349MXN,new,published,,
SINO-TERM-002_4969,"Termo De Acero Inoxidable 600 Ml, Azul","Termo De Acero Inoxidable 600 Ml, Azul",https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-002.png,https://kluumstore.com.mx/producto/termo-de-acero-inoxidable-600-ml-azul/,"Termos","Kluum Store",349MXN,in stock,SINO-TERM-002_4969,https://kluumstore.com.mx/carrito/?add-to-cart=4969,"https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-002.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,349MXN,new,published,,
SINO-TERM-001_4967,"Termo De Acero Inoxidable 600 Ml, Rojo","Termo De Acero Inoxidable 600 Ml, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-001.png,https://kluumstore.com.mx/producto/termo-de-acero-inoxidable-600-ml-rojo/,"Termos","Kluum Store",349MXN,in stock,SINO-TERM-001_4967,https://kluumstore.com.mx/carrito/?add-to-cart=4967,"https://kluumstore.com.mx/wp-content/uploads/2019/11/SINO-TERM-001.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,349MXN,new,published,,
CILL-TERM-002_4965,"Termo Acero Inoxidable 450 Ml, Azul","Termo Acero Inoxidable 450 Ml, Azul",https://kluumstore.com.mx/wp-content/uploads/2019/11/CILL-TERM-002.png,https://kluumstore.com.mx/producto/termo-acero-inoxidable-450-ml-azul/,"Termos","Kluum Store",249MXN,in stock,CILL-TERM-002_4965,https://kluumstore.com.mx/carrito/?add-to-cart=4965,"https://kluumstore.com.mx/wp-content/uploads/2019/11/CILL-TERM-002.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,249MXN,new,published,,
CILL-TERM-001_4963,"Termo Acero Inoxidable 450 Ml, Rosa","Termo Acero Inoxidable 450 Ml, Rosa",https://kluumstore.com.mx/wp-content/uploads/2019/11/CILL-TERM-001.png,https://kluumstore.com.mx/producto/termo-acero-inoxidable-450-ml-rosa/,"Termos","Kluum Store",249MXN,in stock,CILL-TERM-001_4963,https://kluumstore.com.mx/carrito/?add-to-cart=4963,"https://kluumstore.com.mx/wp-content/uploads/2019/11/CILL-TERM-001.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,249MXN,new,published,,
BRIG-TERM-004_4961,"Termo De Fibra De Bambu, Kluum","Termo De Fibra De Bambu, Kluum",https://kluumstore.com.mx/wp-content/uploads/2019/11/BRIG-TERM-004.png,https://kluumstore.com.mx/producto/termo-de-fibra-de-bambu-kluum/,"Termos","Kluum Store",149MXN,in stock,BRIG-TERM-004_4961,https://kluumstore.com.mx/carrito/?add-to-cart=4961,"https://kluumstore.com.mx/wp-content/uploads/2019/11/BRIG-TERM-004.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
