ID,Tipo,SKU,Nombre,Publicado,¿Es destacado?,Visibilidad en catálogo,Descripción corta,Descripción,Fecha de inicio de oferta,Fecha de fin de oferta,Status de Impuesto,Clase de impuesto,¿En existencia?,Disponibilidad,Cantidad de bajas existencias,¿Permitir sobre pedidos?,¿Vender individualmente?,Peso (kg),Largo (cm),Ancho (cm),Alto (cm),¿Permitir opiniones de los clientes?,Nota de compra,Precio de oferta:,Precio regular:,Categorías,Etiquetas,Clase de Envío,Imágenes,Límite de descarga,Caducidad en días de descarga,Padre,Productos agrupados.,Productos-complementarios (Up-Sells),Ventas Cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valores para el atributo 1,Atributo 1 visible,Atributo 1 global
3735,simple,ACEI-BOLS-001,"Bolso De Mano 20X21 Cm, Gris Oscuro",1,0,visible,"Bolso De Mano 20X21 Cm, Gris Oscuro",,,,taxable,,1,,,0,0,,,,,1,,,199,Moda > Bolsos,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-BOLS-001.png,,,,,,,,,0,,,,
3737,simple,ACEI-MOCH-001,"Mochila 29X14X44 Cm, Beige",1,0,visible,"Mochila 29X14X44 Cm, Beige",,,,taxable,,1,,,0,0,,,,,1,,,249,Moda > Mochilas,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-MOCH-001.png,,,,,,,,,0,,,,
3739,simple,ACEI-MOCH-002,"Mochila 30X15X44 Cm, Gris",1,0,visible,"Mochila 30X15X44 Cm, Gris",,,,taxable,,1,,,0,0,,,,,1,,,279,Moda > Mochilas,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-MOCH-002.png,,,,,,,,,0,,,,
3741,simple,ACEI-MOCH-003,"Mochila 28.5X14X43 Cm, Azul",1,0,visible,"Mochila 28.5X14X43 Cm, Azul",,,,taxable,,1,,,0,0,,,,,1,,,229,Moda > Mochilas,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-MOCH-003.png,,,,,,,,,0,,,,
3743,simple,ACEI-MOCH-004,"Mochila 29X14X44 Cm, Rojo",1,0,visible,"Mochila 29X14X44 Cm, Rojo",,,,taxable,,1,,,0,0,,,,,1,,,279,Moda > Mochilas,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-MOCH-004.png,,,,,,,,,0,,,,
3745,simple,ACEI-MOCH-005,"Mochila 44X28X14 Cm, Verde",1,0,visible,"Mochila 44X28X14 Cm, Verde",,,,taxable,,1,,,0,0,,,,,1,,,229,Moda > Mochilas,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-MOCH-005.png,,,,,,,,,0,,,,
3747,simple,ACEI-MOCH-006,"Mochila 44X28X14 Cm, Azul",1,0,visible,"Mochila 44X28X14 Cm, Azul",,,,taxable,,1,,,0,0,,,,,1,,,229,Moda > Mochilas,,,https://test.koniwi.com/wp-content/uploads/2019/11/ACEI-MOCH-006.png,,,,,,,,,0,,,,
3749,simple,ANZO-UTEC-001,Base Para Vaporera De Silicon,1,0,visible,Base Para Vaporera De Silicon,,,,taxable,,1,,,0,0,,,,,1,,,129,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-001.png,,,,,,,,,0,,,,
3751,simple,ANZO-UTEC-002,Trebede De Silicon En Forma De Flor,1,0,visible,Trebede De Silicon En Forma De Flor,,,,taxable,,1,,,0,0,,,,,1,,,49,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-002.png,,,,,,,,,0,,,,
3753,simple,ANZO-UTEC-003,Set De Espatula Y Brocha De Silicon,1,0,visible,Set De Espatula Y Brocha De Silicon,,,,taxable,,1,,,0,0,,,,,1,,,199,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-003.png,,,,,,,,,0,,,,
3755,simple,ANZO-UTEC-004,Cucharon De Madera Con Silicona Verde,1,0,visible,Cucharon De Madera Con Silicona Verde,,,,taxable,,1,,,0,0,,,,,1,,,129,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-004.png,,,,,,,,,0,,,,
3757,simple,ANZO-UTEC-005,Cucharon De Madera Con Silicona Cafe,1,0,visible,Cucharon De Madera Con Silicona Cafe,,,,taxable,,1,,,0,0,,,,,1,,,129,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-005.png,,,,,,,,,0,,,,
3759,simple,ANZO-UTEC-006,Espatula De Madera Con Silicona Verde,1,0,visible,Espatula De Madera Con Silicona Verde,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-006.png,,,,,,,,,0,,,,
3761,simple,ANZO-UTEC-007,Espatula De Madera Con Silicona Cafe,1,0,visible,Espatula De Madera Con Silicona Cafe,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-007.png,,,,,,,,,0,,,,
3763,simple,ANZO-UTEC-008,Servidor De Spaguetti De Madera Con Silicona Verde,1,0,visible,Servidor De Spaguetti De Madera Con Silicona Verde,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-008.png,,,,,,,,,0,,,,
3765,simple,ANZO-UTEC-009,Servidor De Spaguetti De Madera Con Silicona Cafe,1,0,visible,Servidor De Spaguetti De Madera Con Silicona Cafe,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-009.png,,,,,,,,,0,,,,
3767,simple,ANZO-UTEC-010,Pala De Madera Con Silicona Verde,1,0,visible,Pala De Madera Con Silicona Verde,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-010.png,,,,,,,,,0,,,,
3769,simple,ANZO-UTEC-011,Pala De Madera Con Silicona Cafe,1,0,visible,Pala De Madera Con Silicona Cafe,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-011.png,,,,,,,,,0,,,,
3771,simple,ANZO-UTEC-012,Globo Con Silicona Verde,1,0,visible,Globo Con Silicona Verde,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-012.png,,,,,,,,,0,,,,
3773,simple,ANZO-UTEC-013,Globo Con Silicona Cafe,1,0,visible,Globo Con Silicona Cafe,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-013.png,,,,,,,,,0,,,,
3775,simple,ANZO-UTEC-014,Pala De Madera Con Silicona Verde,1,0,visible,Pala De Madera Con Silicona Verde,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-014.png,,,,,,,,,0,,,,
3777,simple,ANZO-UTEC-015,Pala De Madera Con Silicona Cafe,1,0,visible,Pala De Madera Con Silicona Cafe,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-015.png,,,,,,,,,0,,,,
3779,simple,ANZO-UTEC-016,Servidor De Pastel Con Mango De Madera,1,0,visible,Servidor De Pastel Con Mango De Madera,,,,taxable,,1,,,0,0,,,,,1,,,129,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-016.png,,,,,,,,,0,,,,
3781,simple,ANZO-UTEC-017,Cortador De Pizza,1,0,visible,Cortador De Pizza,,,,taxable,,1,,,0,0,,,,,1,,,89,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-017.png,,,,,,,,,0,,,,
3783,simple,ANZO-UTEC-018,Colador Rosa,1,0,visible,Colador Rosa,,,,taxable,,1,,,0,0,,,,,1,,,49,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-018.png,,,,,,,,,0,,,,
3785,simple,ANZO-UTEC-019,Manos Para Ensalada,1,0,visible,Manos Para Ensalada,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-019.png,,,,,,,,,0,,,,
3787,simple,ANZO-UTEC-020,Pinzas De Nylon Para Comida,1,0,visible,Pinzas De Nylon Para Comida,,,,taxable,,1,,,0,0,,,,,1,,,69,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-020.png,,,,,,,,,0,,,,
3789,simple,ANZO-UTEC-021,Set Pinzas De Nylon,1,0,visible,Set Pinzas De Nylon,,,,taxable,,1,,,0,0,,,,,1,,,149,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-021.png,,,,,,,,,0,,,,
3791,simple,ANZO-UTEC-022,Pelador,1,0,visible,Pelador,,,,taxable,,1,,,0,0,,,,,1,,,49,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-022.png,,,,,,,,,0,,,,
3793,simple,ANZO-UTEC-023,Doble Exprimidor,1,0,visible,Doble Exprimidor,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-023.png,,,,,,,,,0,,,,
3795,simple,ANZO-UTEC-024,Servidor De Pastel Con Mango De Plastico,1,0,visible,Servidor De Pastel Con Mango De Plastico,,,,taxable,,1,,,0,0,,,,,1,,,69,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-024.png,,,,,,,,,0,,,,
3797,simple,ANZO-UTEC-025,Espatula De Acero Inoxidable,1,0,visible,Espatula De Acero Inoxidable,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-025.png,,,,,,,,,0,,,,
3799,simple,ANZO-UTEC-026,Servidor De Spaguetti De Acero Inoxidable,1,0,visible,Servidor De Spaguetti De Acero Inoxidable,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-026.png,,,,,,,,,0,,,,
3801,simple,ANZO-UTEC-027,Cucharon De Acero Inoxidable,1,0,visible,Cucharon De Acero Inoxidable,,,,taxable,,1,,,0,0,,,,,1,,,99,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-027.png,,,,,,,,,0,,,,
3803,simple,ANZO-UTEC-028,Set De Trebedes De Silicon,1,0,visible,Set De Trebedes De Silicon,,,,taxable,,1,,,0,0,,,,,1,,,169,Hogar y Cocina > Utensilios de cocina,,,https://test.koniwi.com/wp-content/uploads/2019/11/ANZO-UTEC-028.png,,,,,,,,,0,,,,
